player_id,display_name,drafts_participated,WeekStartDate,match_one_points,match_two_points,match_three_points,match_four_points
500432175301132289,ba_nanah,1,00:00.0,0,0,0,0
332314678476668929,multi269,1,00:00.0,1,0,0,0
706231900171403324,shallot,1,00:00.0,3,0,0,0
858590920525873182,PrincessoftheDark (Crystal),2,00:00.0,2,0,0,0
986788011918376970,UnrestrictLodestone,1,00:00.0,2,0,0,0
218900392329740288,MT_Adrian,4,00:00.0,2,1,2,1
811344417025425478,John_Art,1,00:00.0,1,0,0,0
666113491475890206,ArmyGuyMac,1,00:00.0,1,0,0,0
261995730305024000,rln302,2,00:00.0,1,1,0,0
322475575522361355,Durotan97,1,00:00.0,2,0,0,0
117223984054927365,Zrifts,1,00:00.0,2,0,0,0
191732172476907521,swellmate,1,00:00.0,3,0,0,0
156941584493969408,cmr,1,00:00.0,2,0,0,0
183281343881412608,Nathan8il (nated4),1,00:00.0,0,0,0,0
543843377712594964,cmlrqn,2,00:00.0,1,0,0,0
689534151275184140,suneater aka magicboi,1,00:00.0,1,0,0,0
201110854329040896,Shadow (Shadow_R6),1,00:00.0,2,0,0,0
315565049672630272,CaptainValentine,1,00:00.0,1,0,0,0
249635186994708480,Arthur Peck (Darth_Silk),1,00:00.0,3,0,0,0
241050564887183360,BroccoliRob,2,00:00.0,2,1,0,0
360336758929358848,izzyv03,2,00:00.0,2,1,0,0
489161294717648916,Swordspin718,1,00:00.0,1,0,0,0
235893843403341835,sarahmcslacklen (MrLumpling),1,00:00.0,1,0,0,0
351945487823142925,Deathbytaco,2,00:00.0,0,2,0,0
166722757139103744,Jeremy (Amelas),1,00:00.0,2,0,0,0
313129296094822411,Granimal,1,00:00.0,2,0,0,0
625030787657367553,Ben (mordysdog),1,00:00.0,3,0,0,0
1196867120600993993,holica,1,00:00.0,1,0,0,0
490233345452670997,Legacy Dan,1,00:00.0,3,0,0,0
693567548977053701,chucky,1,00:00.0,0,0,0,0
216054618403110913,Njainchill (Firegothim1234),1,00:00.0,2,0,0,0
504119569124950027,Killerpopo,1,00:00.0,1,0,0,0
181605522028494857,Akouden,1,00:00.0,2,0,0,0
619966185014034461,Drixxx#30697,1,00:00.0,1,0,0,0
440588251590426645,james1881,1,00:00.0,2,0,0,0
267030949064081408,sikolio,1,00:00.0,3,0,0,0
154034102616588290,k1nch,1,00:00.0,2,0,0,0
134774338875293696,DrRobertSpaghetti,1,00:00.0,1,0,0,0
642857806822637589,lowghost1,1,00:00.0,2,0,0,0
